ObservationDate,Confirmed,Recovered,Deaths,Mortality,Recovery
2020-01-22,547.0,28.0,17.0,3.1078610603290677,5.118829981718465
2020-01-23,639.0,30.0,18.0,2.8169014084507045,4.694835680751173
2020-01-24,916.0,36.0,26.0,2.8384279475982535,3.9301310043668125
2020-01-25,1399.0,39.0,42.0,3.0021443888491777,2.7877055039313796
2020-01-26,2062.0,49.0,56.0,2.7158098933074686,2.376333656644035
2020-01-27,2863.0,58.0,82.0,2.8641285365001745,2.0258470136220748
2020-01-28,5494.0,101.0,131.0,2.3844193665817257,1.8383691299599565
2020-01-29,6070.0,120.0,133.0,2.191103789126853,1.9769357495881383
2020-01-30,8124.0,135.0,171.0,2.104874446085672,1.6617429837518465
2020-01-31,9783.0,214.0,213.0,2.177246243483594,2.187468056833282
2020-02-01,11871.0,275.0,259.0,2.1817875494903545,2.316569791929913
2020-02-02,16607.0,463.0,361.0,2.17378214006142,2.7879809718793283
2020-02-03,19693.0,614.0,425.0,2.15812725333875,3.1178591377646883
2020-02-04,23680.0,843.0,490.0,2.0692567567567566,3.5599662162162162
2020-02-05,27409.0,1115.0,562.0,2.050421394432486,4.068006859060892
2020-02-06,30553.0,1476.0,632.0,2.0685366412463586,4.830949497594345
2020-02-07,34075.0,1998.0,717.0,2.1041819515774027,5.8635363169479096
2020-02-08,36778.0,2595.0,804.0,2.186089510033172,7.05584860514438
2020-02-09,39790.0,3218.0,904.0,2.2719276200050267,8.087459160593113
2020-02-10,42306.0,3917.0,1011.0,2.38973195291448,9.258733985723065
2020-02-11,44327.0,4635.0,1111.0,2.506373090892684,10.456380986757505
2020-02-12,44699.0,5079.0,1116.0,2.4967001498914962,11.362670305823396
2020-02-13,59832.0,6213.0,1368.0,2.286401925391095,10.384075411151224
2020-02-14,66292.0,7973.0,1520.0,2.2928860194291922,12.02709225849273
2020-02-15,68347.0,9294.0,1662.0,2.4317087801951804,13.598255958564383
2020-02-16,70446.0,10748.0,1765.0,2.5054651790023565,15.257076342162792
2020-02-17,72364.0,12455.0,1863.0,2.5744845503288927,17.21159692664861
2020-02-18,74139.0,14199.0,2002.0,2.7003331579870244,19.15186339173714
2020-02-19,74546.0,15952.0,2114.0,2.8358329085396936,21.398867813162344
2020-02-20,74999.0,18002.0,2236.0,2.981373084974466,24.00298670648942
2020-02-21,75472.0,18693.0,2236.0,2.9626881492474033,24.76812592749629
2020-02-22,76922.0,22687.0,2441.0,3.1733444268219757,29.49351290918073
2020-02-23,76938.0,23170.0,2443.0,3.1752839949049885,30.11515765941407
2020-02-24,77152.0,24990.0,2593.0,3.360897967648279,32.39060555785981
2020-02-25,77660.0,27650.0,2663.0,3.429049703837239,35.603914499098636
2020-02-26,78065.0,30053.0,2715.0,3.4778710049317874,38.497406007814
2020-02-27,78498.0,32898.0,2744.0,3.495630461922597,41.90934800886647
2020-02-28,78824.0,36291.0,2788.0,3.536993808992185,46.04054602659088
2020-02-29,79251.0,39279.0,2835.0,3.577241927546656,49.562781542188745
2020-03-01,79826.0,42118.0,2870.0,3.5953198206098262,52.762257910956336
2020-03-02,80026.0,44810.0,2912.0,3.6388173843500864,55.99430185189813
2020-03-03,80151.0,47404.0,2945.0,3.6743147309453406,59.14336689498572
2020-03-04,80271.0,49955.0,2981.0,3.713669943067858,62.23293592953869
2020-03-05,80422.0,52240.0,3013.0,3.7464872796001094,64.9573499788615
2020-03-06,80573.0,53888.0,3042.0,3.7754582800690057,66.88096508756036
2020-03-07,80652.0,55478.0,3070.0,3.8064772107325298,68.78688687199326
2020-03-08,80699.0,57320.0,3097.0,3.8377179395035874,71.02938078538767
2020-03-09,80735.0,58735.0,3120.0,3.864494952622778,72.75035610330093
2020-03-10,80757.0,60106.0,3136.0,3.883254702378741,74.42822294042621
2020-03-11,80921.0,61644.0,3161.0,3.9062789634334725,76.17800076617937
2020-03-12,80932.0,62901.0,3172.0,3.9193396925814263,77.72080264913754
2020-03-13,80945.0,64196.0,3180.0,3.928593489406387,79.30817221570202
2020-03-14,80977.0,65660.0,3193.0,3.9430949528878574,81.08475246057523
2020-03-15,81003.0,67017.0,3203.0,3.954174536745553,82.73397281582163
2020-03-16,81033.0,67910.0,3217.0,3.969987535942147,83.80536324707218
2020-03-17,81058.0,68798.0,3230.0,3.9848010066865704,84.87502775790175
2020-03-18,81102.0,69755.0,3241.0,3.996202313136544,86.00897635076818
2020-03-19,81156.0,70535.0,3249.0,4.003400857607571,86.91285918477993
2020-03-20,81250.0,71266.0,3253.0,4.003692307692307,87.712
2020-03-21,81305.0,71857.0,3259.0,4.008363569276182,88.37955845273969
2020-03-22,81397.0,72362.0,3265.0,4.011204344140448,88.90008231261595
2020-03-23,81496.0,72819.0,3274.0,4.017375085893786,89.35285167370178
2020-03-24,81591.0,73274.0,3281.0,4.021276856516037,89.80647375323258
2020-03-25,81661.0,73767.0,3285.0,4.022728107664614,90.3332067939408
2020-03-26,81782.0,74175.0,3291.0,4.024112885476021,90.69844219999511
2020-03-27,81897.0,74714.0,3296.0,4.024567444472935,91.22922695581035
2020-03-28,81999.0,75094.0,3299.0,4.0232197953633575,91.57916559958048
2020-03-29,82122.0,75576.0,3304.0,4.023282433452668,92.02893256374662
2020-03-30,82198.0,75917.0,3308.0,4.0244288182194214,92.35869485875568
2020-03-31,82279.0,76200.0,3309.0,4.021682324773028,92.6117235260516
2020-04-01,82361.0,76399.0,3316.0,4.026177438350675,92.76113694588459
2020-04-02,82432.0,76565.0,3322.0,4.029988354037267,92.88261840062113
2020-04-03,82511.0,76760.0,3326.0,4.030977687823442,93.0300202397256
2020-04-04,82543.0,76946.0,3330.0,4.0342609306664405,93.21929176308106
2020-04-05,82602.0,77207.0,3333.0,4.035011258807293,93.46868114573496
2020-04-06,82665.0,77310.0,3335.0,4.034355531361519,93.52204681545999
2020-04-07,82718.0,77410.0,3335.0,4.031770594066588,93.58301699750962
2020-04-08,82809.0,77567.0,3337.0,4.029755219843254,93.66977019406103
2020-04-09,82883.0,77679.0,3339.0,4.0285703944114,93.72126974168407
2020-04-10,82941.0,77791.0,3340.0,4.026958922607637,93.79076693070978
2020-04-11,83014.0,77877.0,3343.0,4.02703158503385,93.8118871515648
2020-04-12,83134.0,77956.0,3343.0,4.021218755262588,93.77150143142397
2020-04-13,83213.0,78039.0,3345.0,4.01980459783928,93.78222152788626
2020-04-14,83306.0,78200.0,3345.0,4.015317023983867,93.87078961899503
2020-04-15,83356.0,78311.0,3346.0,4.014108162579778,93.94764624022265
2020-04-16,83403.0,78401.0,3346.0,4.01184609666319,94.00261381485079
2020-04-17,83760.0,77552.0,4636.0,5.534861509073544,92.5883476599809
2020-04-18,83787.0,77614.0,4636.0,5.533077923782926,92.63250862305608
2020-04-19,83805.0,77690.0,4636.0,5.531889505399439,92.70329932581588
2020-04-20,83817.0,77745.0,4636.0,5.53109751005166,92.75564622928523
2020-04-21,83853.0,77799.0,4636.0,5.528722884094785,92.78022253228865
2020-04-22,83868.0,77861.0,4636.0,5.527734058282062,92.83755425191968
2020-04-23,83884.0,77983.0,4636.0,5.526679700538839,92.96528539411568
2020-04-24,83899.0,78109.0,4636.0,5.525691605382662,93.09884503986937
2020-04-25,83909.0,78175.0,4636.0,5.525033071541789,93.16640646414568
2020-04-26,83912.0,78277.0,4637.0,5.526027266660311,93.2846315187339
2020-04-27,83918.0,78374.0,4637.0,5.525632164732238,93.39355084725565
2020-04-28,83940.0,78422.0,4637.0,5.524183940910174,93.42625685013105
2020-04-29,83944.0,78474.0,4637.0,5.523920709044124,93.48375107214333
2020-04-30,83956.0,78523.0,4637.0,5.5231311639430185,93.52875315641526
2020-05-01,83959.0,78573.0,4637.0,5.522933812932503,93.58496408961517
2020-05-02,83959.0,78586.0,4637.0,5.522933812932503,93.60044783763503
2020-05-03,83964.0,78684.0,4637.0,5.522604925920633,93.71159068172074
2020-05-04,83966.0,78792.0,4637.0,5.522473382083224,93.83798204034967
2020-05-05,83968.0,78870.0,4637.0,5.522341844512195,93.92863948170732
2020-05-06,83970.0,78929.0,4637.0,5.522210313207098,93.99666547576516
2020-05-07,83975.0,78977.0,4637.0,5.5218815123548675,94.04822863947604
2020-05-08,83976.0,78993.0,4637.0,5.521815756882919,94.066161760503
2020-05-09,83990.0,79127.0,4637.0,5.5208953446838915,94.21002500297655
2020-05-10,84010.0,79167.0,4637.0,5.519581002261636,94.23521009403643
2020-05-11,84011.0,79198.0,4637.0,5.519515301567652,94.2709883229577
2020-05-12,84018.0,79222.0,4637.0,5.519055440500845,94.29169939774809
2020-05-13,84024.0,79246.0,4637.0,5.5186613348567075,94.31352946777112
2020-05-14,84029.0,79261.0,4637.0,5.518332956479311,94.3257684846898
2020-05-15,84038.0,79281.0,4637.0,5.517741973868964,94.33946547990195
2020-05-16,84044.0,79293.0,4638.0,5.518537908714483,94.34700870972348
2020-05-17,84054.0,79306.0,4638.0,5.517881361981583,94.35125038665619
2020-05-18,84063.0,79310.0,4638.0,5.517290603475964,94.34590723623948
2020-05-19,84063.0,79310.0,4638.0,5.517290603475964,94.34590723623948
2020-05-20,84063.0,79310.0,4638.0,5.517290603475964,94.34590723623948
2020-05-21,84063.0,79310.0,4638.0,5.517290603475964,94.34590723623948
2020-05-22,84081.0,79332.0,4638.0,5.516109465872194,94.35187497770008
2020-05-23,84084.0,79335.0,4638.0,5.5159126587698015,94.35207649493364
2020-05-24,84095.0,79343.0,4638.0,5.515191152862834,94.34924787442773
2020-05-25,84102.0,79352.0,4638.0,5.514732111008062,94.35209626406031
2020-05-26,84103.0,79358.0,4638.0,5.514666539838055,94.35810850980346
2020-05-27,84106.0,79367.0,4638.0,5.514469835683542,94.36544360687704
2020-05-28,84106.0,79371.0,4638.0,5.514469835683542,94.37019951014196
2020-05-29,84123.0,79382.0,4638.0,5.513355443814414,94.36420479535917
2020-05-30,84128.0,79386.0,4638.0,5.5130277672118675,94.36335108406239
2020-05-31,84146.0,79389.0,4638.0,5.511848453877784,94.34673068238538
2020-06-01,84154.0,79398.0,4638.0,5.511324476554887,94.34845640135941
2020-06-02,84161.0,79400.0,4638.0,5.51086607811219,94.34298546832856
2020-06-03,84160.0,79404.0,4638.0,5.510931558935361,94.34885931558935
2020-06-04,84171.0,79415.0,4638.0,5.510211355454967,94.34959784248733
2020-06-05,84177.0,79420.0,4638.0,5.509818596528743,94.34881262102475
2020-06-06,84186.0,79424.0,4638.0,5.509229563110256,94.3434775378329
2020-06-07,84191.0,79434.0,4638.0,5.5089023767386065,94.34975234882589
2020-06-08,84195.0,79444.0,4638.0,5.50864065562088,94.35714709899638
2020-06-09,84198.0,79451.0,4638.0,5.508444381101689,94.36209886220576
2020-06-10,84209.0,79456.0,4638.0,5.507724827512499,94.35571019724732
2020-06-11,84216.0,79464.0,4638.0,5.507267027643204,94.35736677115987
2020-06-12,84228.0,79472.0,4638.0,5.506482404900983,94.3534216650045
2020-06-13,84286.0,79475.0,4638.0,5.502693211209453,94.29205324727712
2020-06-14,84335.0,79482.0,4638.0,5.49949605739017,94.24556826940179
2020-06-15,84378.0,79489.0,4638.0,5.4966934508995235,94.20583564436228
2020-06-16,84422.0,79493.0,4638.0,5.493828622870816,94.16147449716898
2020-06-17,84458.0,79510.0,4638.0,5.491486892893509,94.14146676454568
2020-06-18,84494.0,79515.0,4638.0,5.48914715837811,94.10727388927025
2020-06-19,84494.0,79515.0,4638.0,5.48914715837811,94.10727388927025
2020-06-20,84553.0,79534.0,4639.0,5.486499591971899,94.06407815216491
2020-06-21,84572.0,79535.0,4639.0,5.485266991439247,94.04412808021567
2020-06-22,84624.0,79547.0,4639.0,5.481896388731329,94.00051994705993
2020-06-23,84653.0,79555.0,4640.0,5.481199721214842,93.97776806492386
2020-06-24,84673.0,79562.0,4640.0,5.4799050464729016,93.96383735074936
2020-06-25,84701.0,79572.0,4641.0,5.479274152607407,93.94458152796307
2020-06-26,84725.0,79580.0,4641.0,5.4777220419002655,93.92741221599292
2020-06-27,84743.0,79591.0,4641.0,5.476558535808267,93.92044180640289
2020-06-28,84757.0,79609.0,4641.0,5.475653928289108,93.92616539046922
2020-06-29,84780.0,79619.0,4641.0,5.474168435951875,93.91247935833923
