ObservationDate,Confirmed,Recovered,Deaths,Mortality,Recovery
2020-01-22,7.0,0.0,0.0,0.0,0.0
2020-01-23,13.0,0.0,0.0,0.0,0.0
2020-01-24,23.0,0.0,0.0,0.0,0.0
2020-01-25,37.0,0.0,0.0,0.0,0.0
2020-01-26,51.0,3.0,0.0,0.0,5.88235294117647
2020-01-27,59.0,3.0,0.0,0.0,5.084745762711865
2020-01-28,79.0,6.0,0.0,0.0,7.59493670886076
2020-01-29,90.0,6.0,0.0,0.0,6.666666666666667
2020-01-30,106.0,8.0,0.0,0.0,7.547169811320755
2020-01-31,134.0,8.0,0.0,0.0,5.970149253731343
2020-02-01,157.0,9.0,0.0,0.0,5.7324840764331215
2020-02-02,170.0,9.0,1.0,0.5882352941176471,5.294117647058823
2020-02-03,175.0,9.0,1.0,0.5714285714285714,5.142857142857142
2020-02-04,199.0,9.0,2.0,1.0050251256281406,4.522613065326634
2020-02-05,213.0,9.0,2.0,0.9389671361502347,4.225352112676056
2020-02-06,251.0,11.0,2.0,0.796812749003984,4.382470119521913
2020-02-07,302.0,13.0,2.0,0.6622516556291391,4.304635761589404
2020-02-08,328.0,21.0,2.0,0.6097560975609756,6.402439024390244
2020-02-09,346.0,23.0,2.0,0.5780346820809248,6.6473988439306355
2020-02-10,442.0,26.0,2.0,0.4524886877828055,5.88235294117647
2020-02-11,460.0,45.0,2.0,0.43478260869565216,9.782608695652174
2020-02-12,507.0,68.0,2.0,0.39447731755424065,13.41222879684418
2020-02-13,520.0,79.0,3.0,0.576923076923077,15.192307692307692
2020-02-14,577.0,82.0,3.0,0.5199306759098787,14.211438474870016
2020-02-15,667.0,98.0,4.0,0.5997001499250375,14.69265367316342
2020-02-16,762.0,114.0,5.0,0.6561679790026247,14.960629921259844
2020-02-17,878.0,125.0,5.0,0.5694760820045558,14.236902050113894
2020-02-18,981.0,150.0,5.0,0.509683995922528,15.29051987767584
2020-02-19,1077.0,166.0,8.0,0.7428040854224698,15.41318477251625
2020-02-20,1182.0,172.0,11.0,0.9306260575296108,14.551607445008461
